24-07-19 01:30:12.937 : Writing to ./results/denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_iteration_1000-2000_0-0_beta_0_lr_0.0005
24-07-19 01:30:12.938 : Writing log file to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_iteration_1000-2000_0-0_beta_0_lr_0.0005
24-07-19 01:30:19.521 : iteration: 61, psnr: 5.8889856629227655, psnr_best: 5.8889856629227655
24-07-19 01:30:19.562 : iteration: 62, psnr: 5.879147761636361, psnr_best: 5.8889856629227655
24-07-19 01:30:19.606 : iteration: 63, psnr: 5.884299390004318, psnr_best: 5.8889856629227655
24-07-19 01:30:19.652 : iteration: 64, psnr: 5.881821610888025, psnr_best: 5.8889856629227655
24-07-19 01:30:19.702 : iteration: 65, psnr: 5.888770991968348, psnr_best: 5.8889856629227655
24-07-19 01:30:19.750 : iteration: 66, psnr: 5.884768807197569, psnr_best: 5.8889856629227655
24-07-19 01:30:19.793 : iteration: 67, psnr: 5.885974830123941, psnr_best: 5.8889856629227655
24-07-19 01:30:19.840 : iteration: 68, psnr: 5.894759512356067, psnr_best: 5.894759512356067
24-07-19 01:30:19.886 : iteration: 69, psnr: 5.892634060516244, psnr_best: 5.894759512356067
24-07-19 01:30:19.927 : iteration: 70, psnr: 5.8884407996823125, psnr_best: 5.894759512356067
24-07-19 01:30:19.970 : iteration: 71, psnr: 5.890713305622361, psnr_best: 5.894759512356067
24-07-19 01:30:19.996 : iteration: 72, psnr: 5.888544007066139, psnr_best: 5.894759512356067
24-07-19 01:30:20.027 : iteration: 73, psnr: 5.891864523946874, psnr_best: 5.894759512356067
24-07-19 01:30:20.059 : iteration: 74, psnr: 5.8885145567169666, psnr_best: 5.894759512356067
24-07-19 01:30:20.090 : iteration: 75, psnr: 5.892019497172701, psnr_best: 5.894759512356067
24-07-19 01:30:20.121 : iteration: 76, psnr: 5.899659034027783, psnr_best: 5.899659034027783
24-07-19 01:30:20.150 : iteration: 77, psnr: 5.894604742982397, psnr_best: 5.899659034027783
24-07-19 01:30:20.178 : iteration: 78, psnr: 5.896437234865363, psnr_best: 5.899659034027783
24-07-19 01:30:20.209 : iteration: 79, psnr: 5.90452260336335, psnr_best: 5.90452260336335
24-07-19 01:30:20.238 : iteration: 80, psnr: 5.902336472113739, psnr_best: 5.90452260336335
24-07-19 01:30:20.267 : iteration: 81, psnr: 5.899654236114332, psnr_best: 5.90452260336335
24-07-19 01:30:20.297 : iteration: 82, psnr: 5.898220910230091, psnr_best: 5.90452260336335
24-07-19 01:30:20.328 : iteration: 83, psnr: 5.90055566142234, psnr_best: 5.90452260336335
24-07-19 01:30:20.359 : iteration: 84, psnr: 5.900228893221576, psnr_best: 5.90452260336335
24-07-19 01:30:20.386 : iteration: 85, psnr: 5.899163581259016, psnr_best: 5.90452260336335
24-07-19 01:30:20.415 : iteration: 86, psnr: 5.905355756094431, psnr_best: 5.905355756094431
24-07-19 01:30:20.442 : iteration: 87, psnr: 5.908243160389626, psnr_best: 5.908243160389626
24-07-19 01:30:20.467 : iteration: 88, psnr: 5.905255665665516, psnr_best: 5.908243160389626
24-07-19 01:30:20.491 : iteration: 89, psnr: 5.901820295803873, psnr_best: 5.908243160389626
24-07-19 01:30:20.513 : iteration: 90, psnr: 5.904940742088879, psnr_best: 5.908243160389626
24-07-19 01:30:20.538 : iteration: 91, psnr: 5.902834471879895, psnr_best: 5.908243160389626
24-07-19 01:30:20.562 : iteration: 92, psnr: 5.9144275903501216, psnr_best: 5.9144275903501216
24-07-19 01:30:20.585 : iteration: 93, psnr: 5.911270059563352, psnr_best: 5.9144275903501216
24-07-19 01:30:20.609 : iteration: 94, psnr: 5.909384928684634, psnr_best: 5.9144275903501216
24-07-19 01:30:20.632 : iteration: 95, psnr: 5.910814530813868, psnr_best: 5.9144275903501216
24-07-19 01:30:20.656 : iteration: 96, psnr: 5.911693376418545, psnr_best: 5.9144275903501216
24-07-19 01:30:20.679 : iteration: 97, psnr: 5.9133925799444205, psnr_best: 5.9144275903501216
24-07-19 01:30:20.703 : iteration: 98, psnr: 5.910297906571917, psnr_best: 5.9144275903501216
24-07-19 01:30:20.727 : iteration: 99, psnr: 5.9183437337703655, psnr_best: 5.9183437337703655
24-07-19 01:30:20.751 : iteration: 100, psnr: 5.908878795444705, psnr_best: 5.9183437337703655
24-07-19 01:30:20.773 : iteration: 101, psnr: 5.913482345584205, psnr_best: 5.9183437337703655
24-07-19 01:30:20.797 : iteration: 102, psnr: 5.920979690599118, psnr_best: 5.920979690599118
24-07-19 01:30:20.820 : iteration: 103, psnr: 5.914889591632598, psnr_best: 5.920979690599118
24-07-19 01:30:20.841 : iteration: 104, psnr: 5.913628815047332, psnr_best: 5.920979690599118
24-07-19 01:30:20.863 : iteration: 105, psnr: 5.918083224436478, psnr_best: 5.920979690599118
24-07-19 01:30:20.886 : iteration: 106, psnr: 5.92024088789764, psnr_best: 5.920979690599118
24-07-19 01:30:20.910 : iteration: 107, psnr: 5.92291820069809, psnr_best: 5.92291820069809
24-07-19 01:30:20.934 : iteration: 108, psnr: 5.922224712383485, psnr_best: 5.92291820069809
24-07-19 01:30:20.958 : iteration: 109, psnr: 5.9216806840638, psnr_best: 5.92291820069809
24-07-19 01:30:20.980 : iteration: 110, psnr: 5.921769356171973, psnr_best: 5.92291820069809
24-07-19 01:30:21.005 : iteration: 111, psnr: 5.924914997037411, psnr_best: 5.924914997037411
24-07-19 01:30:21.028 : iteration: 112, psnr: 5.927455431048267, psnr_best: 5.927455431048267
24-07-19 01:30:21.051 : iteration: 113, psnr: 5.92358417230026, psnr_best: 5.927455431048267
24-07-19 01:30:21.074 : iteration: 114, psnr: 5.924851252178246, psnr_best: 5.927455431048267
24-07-19 01:30:21.098 : iteration: 115, psnr: 5.930844532565182, psnr_best: 5.930844532565182
24-07-19 01:30:21.122 : iteration: 116, psnr: 5.930359258349155, psnr_best: 5.930844532565182
24-07-19 01:30:21.146 : iteration: 117, psnr: 5.930329850322391, psnr_best: 5.930844532565182
24-07-19 01:30:21.170 : iteration: 118, psnr: 5.93038055328133, psnr_best: 5.930844532565182
24-07-19 01:30:21.195 : iteration: 119, psnr: 5.93507492407246, psnr_best: 5.93507492407246
24-07-19 01:30:21.222 : iteration: 120, psnr: 5.933310335228872, psnr_best: 5.93507492407246
24-07-19 01:30:21.244 : iteration: 121, psnr: 5.930220256490711, psnr_best: 5.93507492407246
24-07-19 01:30:21.270 : iteration: 122, psnr: 5.9358242475279965, psnr_best: 5.9358242475279965
24-07-19 01:30:21.295 : iteration: 123, psnr: 5.940634722078018, psnr_best: 5.940634722078018
24-07-19 01:30:21.321 : iteration: 124, psnr: 5.938400031993929, psnr_best: 5.940634722078018
24-07-19 01:30:21.345 : iteration: 125, psnr: 5.93413717736393, psnr_best: 5.940634722078018
24-07-19 01:30:21.367 : iteration: 126, psnr: 5.937707208117573, psnr_best: 5.940634722078018
24-07-19 01:30:21.390 : iteration: 127, psnr: 5.9331584722472215, psnr_best: 5.940634722078018
24-07-19 01:30:21.414 : iteration: 128, psnr: 5.944627203483776, psnr_best: 5.944627203483776
24-07-19 01:30:21.437 : iteration: 129, psnr: 5.9372271834334835, psnr_best: 5.944627203483776
24-07-19 01:30:21.459 : iteration: 130, psnr: 5.940925711448565, psnr_best: 5.944627203483776
24-07-19 01:30:21.482 : iteration: 131, psnr: 5.937708942678255, psnr_best: 5.944627203483776
24-07-19 01:30:21.506 : iteration: 132, psnr: 5.940279488712784, psnr_best: 5.944627203483776
24-07-19 01:30:21.529 : iteration: 133, psnr: 5.943373558977611, psnr_best: 5.944627203483776
24-07-19 01:30:21.554 : iteration: 134, psnr: 5.946923977523879, psnr_best: 5.946923977523879
24-07-19 01:30:21.576 : iteration: 135, psnr: 5.94534616828135, psnr_best: 5.946923977523879
24-07-19 01:30:21.599 : iteration: 136, psnr: 5.942717351455151, psnr_best: 5.946923977523879
24-07-19 01:30:21.623 : iteration: 137, psnr: 5.94375655394831, psnr_best: 5.946923977523879
24-07-19 01:30:21.647 : iteration: 138, psnr: 5.943562668693895, psnr_best: 5.946923977523879
24-07-19 01:30:21.671 : iteration: 139, psnr: 5.944455466985975, psnr_best: 5.946923977523879
24-07-19 01:30:21.695 : iteration: 140, psnr: 5.948806600177236, psnr_best: 5.948806600177236
24-07-19 01:30:21.719 : iteration: 141, psnr: 5.949602134716646, psnr_best: 5.949602134716646
24-07-19 01:30:21.742 : iteration: 142, psnr: 5.949982533117007, psnr_best: 5.949982533117007
24-07-19 01:30:21.766 : iteration: 143, psnr: 5.953915087654963, psnr_best: 5.953915087654963
24-07-19 01:30:21.795 : iteration: 144, psnr: 5.955314463661265, psnr_best: 5.955314463661265
24-07-19 01:30:21.819 : iteration: 145, psnr: 5.954011311705097, psnr_best: 5.955314463661265
24-07-19 01:30:21.841 : iteration: 146, psnr: 5.949469212291605, psnr_best: 5.955314463661265
24-07-19 01:30:21.867 : iteration: 147, psnr: 5.955332236079708, psnr_best: 5.955332236079708
24-07-19 01:30:21.890 : iteration: 148, psnr: 5.953512891963787, psnr_best: 5.955332236079708
24-07-19 01:30:21.912 : iteration: 149, psnr: 5.954500320580922, psnr_best: 5.955332236079708
24-07-19 01:30:21.935 : iteration: 150, psnr: 5.954875064092524, psnr_best: 5.955332236079708
24-07-19 01:30:21.959 : iteration: 151, psnr: 5.959085066661083, psnr_best: 5.959085066661083
24-07-19 01:30:21.983 : iteration: 152, psnr: 5.960858776012058, psnr_best: 5.960858776012058
24-07-19 01:30:22.006 : iteration: 153, psnr: 5.958735194056544, psnr_best: 5.960858776012058
24-07-19 01:30:22.030 : iteration: 154, psnr: 5.957735091050619, psnr_best: 5.960858776012058
24-07-19 01:30:22.059 : iteration: 155, psnr: 5.961369202762274, psnr_best: 5.961369202762274
24-07-19 01:30:22.086 : iteration: 156, psnr: 5.962968830015499, psnr_best: 5.962968830015499
24-07-19 01:30:22.117 : iteration: 157, psnr: 5.970212557115263, psnr_best: 5.970212557115263
